,url,address,neighborhood,rent,beds,baths,zip
0,https://www.renthop.com/listings/84th-street/3...,84th Street,"Upper West Side, Upper Manhattan, Manhattan",2350,1,1.0,
1,https://www.renthop.com/listings/e-14th-st/4br...,E 14th St.,"Gramercy Park, Midtown Manhattan, Manhattan",6495,4,1.5,
2,https://www.renthop.com/listings/w-69th-st/4/1...,W 69th St.,"Lincoln Square, Upper West Side, Upper Manhatt...",2900,1,1.0,
3,https://www.renthop.com/listings/355-south-end...,"355 South End Avenue, Apt 4J","Battery Park City, Downtown Manhattan, Manhattan",5748,2,2.0,10280
4,https://www.renthop.com/listings/river-road/na...,river road,"Roosevelt Island, Manhattan",5800,4,2.0,
5,https://www.renthop.com/listings/215-w-75th-st...,"215 W 75th St, Apt 16/A","Upper West Side, Upper Manhattan, Manhattan",5600,2,1.0,10023
6,https://www.renthop.com/listings/227-east-96th...,227 East 96th Street,"East Harlem, Upper Manhattan, Manhattan",1995,0,1.0,10128
7,https://www.renthop.com/listings/924-myrtle-av...,"924 Myrtle Ave, Apt 3B","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",1965,0,1.0,11206
8,https://www.renthop.com/listings/east-85th-str...,East 85th Street,"Yorkville, Upper East Side, Upper Manhattan, M...",1985,0,1.0,
9,https://www.renthop.com/listings/financial-dis...,Financial District,"Financial District, Downtown Manhattan, Manhattan",2331,0,1.0,
10,https://www.renthop.com/listings/east-69th-st-...,East 69th St & 2nd Ave,"Upper East Side, Upper Manhattan, Manhattan",3695,2,2.0,
11,https://www.renthop.com/listings/queens-street...,Queens Street,"Long Island City, Northwestern Queens, Queens",3340,2,1.0,
12,https://www.renthop.com/listings/864-nostrand-...,"864 Nostrand Avenue, Apt 2","Crown Heights, Central Brooklyn, Brooklyn",2899,3,1.0,11225
13,https://www.renthop.com/listings/202-e-13th-st...,"202 E 13th St., Apt 5G","East Village, Downtown Manhattan, Manhattan",5495,2,2.0,10003
14,https://www.renthop.com/listings/57th-st/407/1...,57th St,"Hell's Kitchen, Midtown Manhattan, Manhattan",2746,1,1.0,
15,https://www.renthop.com/listings/43-columbia-p...,"43 Columbia Pl, Apt 1B","Brooklyn Heights, Northwestern Brooklyn, Brooklyn",2488,0,1.0,11201
16,https://www.renthop.com/listings/church-st/0/1...,Church St.,"Tribeca, Downtown Manhattan, Manhattan",8995,5,2.0,
17,https://www.renthop.com/listings/kent-avenue/1...,Kent Avenue,"Williamsburg, Northern Brooklyn, Brooklyn",5335,2,2.0,
18,https://www.renthop.com/listings/queens-plaza-...,Queens Plaza North,"Long Island City, Northwestern Queens, Queens",2599,1,1.0,
19,https://www.renthop.com/listings/ashland-place...,Ashland Place,"Fort Greene, Northwestern Brooklyn, Brooklyn",2764,0,1.0,
20,https://www.renthop.com/listings/208-west-99th...,208 West 99th Street,"Manhattan Valley, Upper West Side, Upper Manha...",3493,2,1.0,10025
21,https://www.renthop.com/listings/57th-st/407/1...,57th St,"Hell's Kitchen, Midtown Manhattan, Manhattan",2746,1,1.0,
22,https://www.renthop.com/listings/43-columbia-p...,"43 Columbia Pl, Apt 1B","Brooklyn Heights, Northwestern Brooklyn, Brooklyn",2488,0,1.0,11201
23,https://www.renthop.com/listings/church-st/0/1...,Church St.,"Tribeca, Downtown Manhattan, Manhattan",8995,5,2.0,
24,https://www.renthop.com/listings/145-attorney-...,"145 Attorney St., Apt 1B","Lower East Side, Downtown Manhattan, Manhattan",9895,0,2.5,10002
25,https://www.renthop.com/listings/kent-avenue/1...,Kent Avenue,"Williamsburg, Northern Brooklyn, Brooklyn",5335,2,2.0,
26,https://www.renthop.com/listings/queens-plaza-...,Queens Plaza North,"Long Island City, Northwestern Queens, Queens",2599,1,1.0,
27,https://www.renthop.com/listings/ashland-place...,Ashland Place,"Fort Greene, Northwestern Brooklyn, Brooklyn",2764,0,1.0,
28,https://www.renthop.com/listings/allen-street/...,Allen Street,"Lower East Side, Downtown Manhattan, Manhattan",3200,2,1.0,
29,https://www.renthop.com/listings/250-broome-st...,"250 Broome Street, Apt 7A18","Cooperative Village, Lower East Side, Downtown...",2246,2,1.0,10002
30,https://www.renthop.com/listings/east-6th-st/3...,East 6th St,"East Village, Downtown Manhattan, Manhattan",4212,2,1.0,
31,https://www.renthop.com/listings/west-19th-str...,West 19th Street,"Chelsea, Midtown Manhattan, Manhattan",4800,2,1.0,
32,https://www.renthop.com/listings/90-thompson-s...,"90 Thompson St, Apt E4","SoHo, Downtown Manhattan, Manhattan",5750,3,1.0,10012
33,https://www.renthop.com/listings/battery-place...,Battery Place,"Battery Park City, Downtown Manhattan, Manhattan",3495,1,1.0,
34,https://www.renthop.com/listings/west-60s/2717...,West 60's,"Lincoln Square, Upper West Side, Upper Manhatt...",8350,2,2.0,
35,https://www.renthop.com/listings/505-w-37th-st...,"505 W 37th Street, Apt 2209","Hell's Kitchen, Midtown Manhattan, Manhattan",5980,2,2.0,10018
36,https://www.renthop.com/listings/w-21st-st/6-c...,W 21st St,"Chelsea, Midtown Manhattan, Manhattan",3850,1,1.0,
37,https://www.renthop.com/listings/e-63rd-st/30f...,E 63rd St.,"Upper East Side, Upper Manhattan, Manhattan",5500,2,2.0,
38,https://www.renthop.com/listings/north-9th-st/...,North 9th St,"Williamsburg, Northern Brooklyn, Brooklyn",3470,1,1.0,
39,https://www.renthop.com/listings/1-ave-and-14-...,1 ave and 14 st,"East Village, Downtown Manhattan, Manhattan",4000,4,1.0,10009
40,https://www.renthop.com/listings/e-63rd-st/30f...,E 63rd St.,"Upper East Side, Upper Manhattan, Manhattan",5500,2,2.0,
41,https://www.renthop.com/listings/north-9th-st/...,North 9th St,"Williamsburg, Northern Brooklyn, Brooklyn",3470,1,1.0,
42,https://www.renthop.com/listings/1-ave-and-14-...,1 ave and 14 st,"East Village, Downtown Manhattan, Manhattan",4000,4,1.0,10009
43,https://www.renthop.com/listings/e-63rd-st/416...,E 63rd St.,"Upper East Side, Upper Manhattan, Manhattan",5500,2,1.0,
44,https://www.renthop.com/listings/steinway-stre...,Steinway Street,"Steinway, Astoria, Northwestern Queens, Queens",2600,2,1.0,
45,https://www.renthop.com/listings/10th-ave/29/1...,10th Ave.,"Hell's Kitchen, Midtown Manhattan, Manhattan",6000,4,2.0,
46,https://www.renthop.com/listings/e-15th-st/3r/...,E 15th St,"Gramercy Park, Midtown Manhattan, Manhattan",6000,2,1.0,
47,https://www.renthop.com/listings/west-60s/1608...,West 60's,"Lincoln Square, Upper West Side, Upper Manhatt...",6890,3,2.0,
48,https://www.renthop.com/listings/harrison-stre...,Harrison Street,"Tribeca, Downtown Manhattan, Manhattan",6695,4,2.0,
49,https://www.renthop.com/listings/washington-st...,Washington St.,"DUMBO, Northwestern Brooklyn, Brooklyn",3643,1,1.0,
50,https://www.renthop.com/listings/cpw/4s/12963319,Cpw,"Lincoln Square, Upper West Side, Upper Manhatt...",20000,5,4.5,
51,https://www.renthop.com/listings/e-17th-st/0/1...,E 17th St.,"Flatiron District, Midtown Manhattan, Manhattan",10000,5,2.0,
52,https://www.renthop.com/listings/center-blvd/n...,Center Blvd,"Hunters Point, Long Island City, Northwestern ...",2235,0,1.0,
53,https://www.renthop.com/listings/gold-street/n...,Gold Street,"Downtown Brooklyn, Northwestern Brooklyn, Broo...",3250,1,1.0,
54,https://www.renthop.com/listings/east-76th-str...,East 76th Street,"Upper East Side, Upper Manhattan, Manhattan",2800,1,1.0,
55,https://www.renthop.com/listings/east-2nd-stre...,East 2nd Street,"Alphabet City, East Village, Downtown Manhatta...",3095,1,1.0,
56,https://www.renthop.com/listings/e-87th-st/12b...,E 87th St.,"Yorkville, Upper East Side, Upper Manhattan, M...",7000,3,2.0,
57,https://www.renthop.com/listings/east-2nd-stre...,East 2nd Street,"Alphabet City, East Village, Downtown Manhatta...",3250,0,1.0,
58,https://www.renthop.com/listings/orchard-stree...,Orchard Street,"Lower East Side, Downtown Manhattan, Manhattan",3438,2,1.0,
59,https://www.renthop.com/listings/kent-avenue/1...,Kent Avenue,"Williamsburg, Northern Brooklyn, Brooklyn",4825,2,2.0,
